State,Confirmed_Case,Death,Population
South Australia,37261,10,1767247
Victoria,1651374,328455,6689377
New South Wales,678646,1540,8157735
Queensland,129235,10,5160023
Western Australia,102250,45,2656156
Tasmania,11514,66,539590
Australian Capital Territory,13080,6,429834
Northern Territory,1397,0,245353
